model,method,feature_delta,target,spearman_rho,n,key
vit_b_32,ig,abs_delta_colorfulness,entropy_delta,-0.056089338390223356,225,vit_b_32 / ig
resnet101,cam,abs_delta_brightness,xai_iou,0.055326590813316485,225,resnet101 / cam
vit_b_16,cam,abs_delta_entropy,prob_drop,0.05515276021913191,225,vit_b_16 / cam
vit_b_16,ig,abs_delta_entropy,prob_drop,0.05515276021913191,225,vit_b_16 / ig
vit_b_16,rollout,abs_delta_entropy,prob_drop,0.05515276021913191,225,vit_b_16 / rollout
vit_b_16,cam,abs_delta_colorfulness,entropy_delta,0.05457859249894649,225,vit_b_16 / cam
vit_b_16,cam,abs_delta_hf_energy,entropy_delta,-0.053236409608091034,225,vit_b_16 / cam
resnet101,cam,abs_delta_contrast,xai_corr,0.04116203118415508,225,resnet101 / cam
vit_b_32,ig,abs_delta_contrast,prob_drop,0.03872313527180784,225,vit_b_32 / ig
vit_b_32,cam,abs_delta_contrast,prob_drop,0.03872313527180784,225,vit_b_32 / cam
vit_b_32,rollout,abs_delta_contrast,prob_drop,0.03872313527180784,225,vit_b_32 / rollout
vit_b_32,ig,abs_delta_edge_strength,centroid_shift,0.03707964601769912,225,vit_b_32 / ig
vit_b_16,cam,abs_delta_hf_energy,centroid_shift,0.03581436999578593,225,vit_b_16 / cam
vit_b_16,cam,abs_delta_brightness,prob_drop,-0.03531816266329541,225,vit_b_16 / cam
vit_b_16,rollout,abs_delta_brightness,prob_drop,-0.03531816266329541,225,vit_b_16 / rollout
vit_b_16,ig,abs_delta_brightness,prob_drop,-0.03531816266329541,225,vit_b_16 / ig
resnet101,ig,abs_delta_contrast,centroid_shift,0.03457121786767805,225,resnet101 / ig
resnet101,ig,abs_delta_entropy,entropy_delta,-0.030897597977244,225,resnet101 / ig
resnet101,ig,abs_delta_colorfulness,entropy_delta,0.029444795617361994,225,resnet101 / ig
vit_b_16,cam,abs_delta_brightness,entropy_delta,0.02709123472397809,225,vit_b_16 / cam
vit_b_16,cam,abs_delta_entropy,xai_corr,0.026461230509903077,225,vit_b_16 / cam
resnet101,ig,abs_delta_saturation,entropy_delta,-0.02595554150863886,225,resnet101 / ig
vit_b_32,ig,abs_delta_saturation,entropy_delta,0.025056890012642226,225,vit_b_32 / ig
vit_b_16,cam,abs_delta_contrast,centroid_shift,-0.025008428150021075,225,vit_b_16 / cam
vit_b_32,cam,abs_delta_edge_strength,entropy_delta,-0.024337336704593343,225,vit_b_32 / cam
vit_b_16,rollout,abs_delta_saturation,entropy_delta,0.02428360724820902,225,vit_b_16 / rollout
vit_b_16,cam,abs_delta_saturation,entropy_delta,0.02306468605141172,225,vit_b_16 / cam
vit_b_32,rollout,abs_delta_brightness,entropy_delta,0.02270965023177413,225,vit_b_32 / rollout
vit_b_32,ig,abs_delta_colorfulness,prob_drop,-0.022326169405815426,225,vit_b_32 / ig
vit_b_32,cam,abs_delta_colorfulness,prob_drop,-0.022326169405815426,225,vit_b_32 / cam
vit_b_32,rollout,abs_delta_colorfulness,prob_drop,-0.022326169405815426,225,vit_b_32 / rollout
vit_b_16,cam,abs_delta_colorfulness,xai_iou,0.021922216758007932,225,vit_b_16 / cam
resnet101,ig,abs_delta_contrast,entropy_delta,-0.02152549515381374,225,resnet101 / ig
resnet101,ig,abs_delta_entropy,centroid_shift,0.020653181626632957,225,resnet101 / ig
vit_b_16,cam,abs_delta_entropy,centroid_shift,-0.020206489675516227,225,vit_b_16 / cam
resnet101,cam,abs_delta_brightness,entropy_delta,0.019250948166877373,225,resnet101 / cam
vit_b_16,cam,abs_delta_contrast,xai_iou,-0.019085131027609645,225,vit_b_16 / cam
vit_b_16,ig,abs_delta_edge_strength,prob_drop,-0.01807838179519596,225,vit_b_16 / ig
vit_b_16,rollout,abs_delta_edge_strength,prob_drop,-0.01807838179519596,225,vit_b_16 / rollout
vit_b_16,cam,abs_delta_edge_strength,prob_drop,-0.01807838179519596,225,vit_b_16 / cam
vit_b_16,ig,abs_delta_hf_energy,prob_drop,0.017307206068268015,225,vit_b_16 / ig
vit_b_16,cam,abs_delta_hf_energy,prob_drop,0.017307206068268015,225,vit_b_16 / cam
vit_b_16,rollout,abs_delta_hf_energy,prob_drop,0.017307206068268015,225,vit_b_16 / rollout
vit_b_16,cam,abs_delta_entropy,xai_iou,0.01708573634852673,225,vit_b_16 / cam
resnet101,ig,abs_delta_saturation,centroid_shift,-0.012954066582385168,225,resnet101 / ig
resnet101,cam,abs_delta_brightness,xai_corr,0.012883480825958705,225,resnet101 / cam
