wnid,mean_drift,spillover_rate,n_par,model
n02841315,0.36173394322395325,0.475,40,resnet50
n02843684,0.3939794600009918,0.175,40,resnet50
n02859443,0.4051843583583832,0.375,40,resnet50
n02860847,0.44400882720947266,0.375,40,resnet50
n02865351,0.3592759668827057,0.525,40,resnet50
n02869837,0.3913956582546234,0.6,40,resnet50
n02870880,0.31729960441589355,0.2,40,resnet50
n02871525,0.41725510358810425,0.6,40,resnet50
n02877765,0.36634936928749084,0.425,40,resnet50
n02879718,0.41423892974853516,0.35,40,resnet50
n02883205,0.31580662727355957,0.175,40,resnet50
n02892201,0.4485103487968445,0.325,40,resnet50
n02892767,0.3474598526954651,0.375,40,resnet50
n02894605,0.41685524582862854,0.425,40,resnet50
n02895154,0.3943730294704437,0.3,40,resnet50
n02906734,0.4354935586452484,0.525,40,resnet50
n02909870,0.383139044046402,0.3,40,resnet50
n02910353,0.3798626959323883,0.375,40,resnet50
n02916936,0.39886078238487244,0.525,40,resnet50
n02917067,0.4273565709590912,0.55,40,resnet50
n02927161,0.4580909311771393,0.4,40,resnet50
n02930766,0.28467121720314026,0.25,40,resnet50
n02939185,0.3691765367984772,0.375,40,resnet50
n02948072,0.41583794355392456,0.225,40,resnet50
n02950826,0.4186857342720032,0.3,40,resnet50
n02951358,0.35569044947624207,0.475,40,resnet50
n02951585,0.35499143600463867,0.325,40,resnet50
n02963159,0.38820892572402954,0.45,40,resnet50
n02965783,0.28792744874954224,0.025,40,resnet50
n02966193,0.4521331191062927,0.225,40,resnet50
n02966687,0.37559494376182556,0.425,40,resnet50
n02971356,0.426154762506485,0.725,40,resnet50
n02974003,0.29078763723373413,0.175,40,resnet50
n02977058,0.41968974471092224,0.3,40,resnet50
n02978881,0.34597402811050415,0.35,40,resnet50
n02979186,0.31198248267173767,0.475,40,resnet50
n02980441,0.38257846236228943,0.3,40,resnet50
n02981792,0.38235723972320557,0.525,40,resnet50
n02988304,0.3037513196468353,0.275,40,resnet50
n02992211,0.3718600273132324,0.375,40,resnet50
n02992529,0.2810690701007843,0.475,40,resnet50
n02999410,0.39284050464630127,0.25,40,resnet50
n03000134,0.32250815629959106,0.375,40,resnet50
n03000247,0.3829799294471741,0.325,40,resnet50
n03000684,0.35284778475761414,0.375,40,resnet50
n03014705,0.41289347410202026,0.325,40,resnet50
n03016953,0.2516857087612152,0.05,40,resnet50
n03017168,0.34690606594085693,0.225,40,resnet50
n03018349,0.3945845067501068,0.35,40,resnet50
n03026506,0.42483845353126526,0.2,40,resnet50
n03028079,0.3446589708328247,0.6,40,resnet50
n03032252,0.35058799386024475,0.5,40,resnet50
n03041632,0.43260854482650757,0.4,40,resnet50
n03042490,0.5104926824569702,0.425,40,resnet50
n03045698,0.40168219804763794,0.275,40,resnet50
n03047690,0.3361198604106903,0.275,40,resnet50
n03062245,0.32147151231765747,0.55,40,resnet50
n03063599,0.33519792556762695,0.35,40,resnet50
n03063689,0.3227658271789551,0.45,40,resnet50
n03065424,0.36041101813316345,0.2,40,resnet50
n03075370,0.3229444622993469,0.275,40,resnet50
n03085013,0.27358224987983704,0.1,40,resnet50
n03089624,0.46917253732681274,0.475,40,resnet50
n03095699,0.3490016758441925,0.275,40,resnet50
n03100240,0.29189223051071167,0.4,40,resnet50
n03109150,0.39370718598365784,0.475,40,resnet50
n03110669,0.349947988986969,0.4,40,resnet50
n03124043,0.44325628876686096,0.25,40,resnet50
n03124170,0.35650479793548584,0.45,40,resnet50
n03125729,0.44562119245529175,0.525,40,resnet50
n03126707,0.3446079194545746,0.25,40,resnet50
n03127747,0.33141863346099854,0.175,40,resnet50
n03127925,0.4337228238582611,0.45,40,resnet50
n03131574,0.4249449372291565,0.375,40,resnet50
n03133878,0.3952224850654602,0.6,40,resnet50
n03134739,0.37559202313423157,0.375,40,resnet50
n03141823,0.41197770833969116,0.625,40,resnet50
n03146219,0.45870113372802734,0.6,40,resnet50
n03160309,0.4408797323703766,0.35,40,resnet50
n03179701,0.4089530110359192,0.425,40,resnet50
n03180011,0.30539894104003906,0.5,40,resnet50
n03187595,0.39936986565589905,0.5,40,resnet50
n03188531,0.44570523500442505,0.475,40,resnet50
n03196217,0.311636745929718,0.275,40,resnet50
n03197337,0.33144593238830566,0.35,40,resnet50
n03201208,0.4315583109855652,0.5,40,resnet50
n03207743,0.47913098335266113,0.65,40,resnet50
n03207941,0.38846999406814575,0.675,40,resnet50
n03208938,0.3363072872161865,0.375,40,resnet50
n03216828,0.3478187918663025,0.475,40,resnet50
n03218198,0.35110050439834595,0.2,40,resnet50
n03220513,0.2574363648891449,0.4,40,resnet50
n03223299,0.48038363456726074,0.65,40,resnet50
n03240683,0.36629003286361694,0.325,40,resnet50
n03249569,0.3851892948150635,0.275,40,resnet50
n03250847,0.3878082036972046,0.425,40,resnet50
n03255030,0.38874882459640503,0.425,40,resnet50
n03259280,0.4062890112400055,0.55,40,resnet50
n03271574,0.32683947682380676,0.275,40,resnet50
n03272010,0.3852390646934509,0.325,40,resnet50
n03272562,0.2923579812049866,0.325,40,resnet50
n03290653,0.30230799317359924,0.25,40,resnet50
n03291819,0.41377753019332886,0.35,40,resnet50
n03297495,0.2991419732570648,0.35,40,resnet50
n03314780,0.3410763740539551,0.35,40,resnet50
n03325584,0.41076764464378357,0.45,40,resnet50
