grupa,klasa,corruption,severity,prob_spadek,iou_spadek
podatne,backpack,frost,4,0.169073186814785,0.5518609347951529
podatne,backpack,frost,5,0.17387583758682013,0.7843695138930928
podatne,backpack,fog,1,0.14396927878260612,0.31525935873761957
podatne,backpack,fog,2,0.16638712864369154,0.32033472803347285
podatne,backpack,fog,3,0.16869053151458502,0.4930930930930931
podatne,backpack,fog,4,0.17502500186674297,0.5924263674614305
podatne,backpack,fog,5,0.17614855419378728,0.6030066815144766
podatne,backpack,brightness,1,0.04510118067264557,0.3078738829876918
podatne,backpack,brightness,2,0.06852953135967255,0.40114704476660823
podatne,backpack,brightness,3,0.1111036092042923,0.44583817266744097
podatne,backpack,brightness,4,0.12576541677117348,0.4719853836784409
podatne,backpack,brightness,5,0.112092524766922,0.4697720515361744
podatne,backpack,contrast,1,0.10223166644573212,0.31469353484466833
podatne,backpack,contrast,2,0.1339767798781395,0.35056290574410387
podatne,backpack,contrast,3,0.13542793691158295,0.33648267860102765
podatne,backpack,contrast,4,0.10948067158460617,0.29406765255821865
podatne,backpack,contrast,5,0.13352513313293457,0.4223846577065158
podatne,backpack,elastic_transform,1,0.16062559932470322,0.5976385104450499
podatne,backpack,elastic_transform,2,0.1718291314318776,0.5707775562517801
podatne,backpack,elastic_transform,3,0.17617416684515774,0.6493506493506493
podatne,backpack,elastic_transform,4,0.17707034351769835,0.6124706207659338
podatne,backpack,elastic_transform,5,0.17414997820742428,0.562486571653656
podatne,backpack,pixelate,1,0.165804049000144,0.6653367910100405
podatne,backpack,pixelate,2,0.17647835914976895,0.8172765305521184
podatne,backpack,pixelate,3,0.17693914339179173,0.6413970488696359
podatne,backpack,pixelate,4,0.17723692581057549,0.6702881748923485
podatne,backpack,pixelate,5,0.17685462796362117,0.5856820744081173
podatne,backpack,jpeg_compression,1,0.14366712793707848,0.5415970355300443
podatne,backpack,jpeg_compression,2,0.17051420966163278,0.6693184831609653
podatne,backpack,jpeg_compression,3,0.15845151990652084,0.4471607612563825
podatne,backpack,jpeg_compression,4,0.17421610886231065,0.5700648286670942
podatne,backpack,jpeg_compression,5,0.17482265224680305,0.7179601736022466
podatne,backpack,gaussian_noise,1,0.3249491862952709,0.536599591717702
podatne,backpack,gaussian_noise,2,0.34498010762035847,0.5386239534037132
podatne,backpack,gaussian_noise,3,0.3439665585756302,0.5342485760186944
podatne,backpack,gaussian_noise,4,0.3566403726581484,0.8079344340182919
podatne,backpack,gaussian_noise,5,0.3578766358550638,0.9293791337742693
podatne,backpack,shot_noise,1,0.28633127361536026,0.6074649646177328
podatne,backpack,shot_noise,2,0.30561723187565804,0.8043128611425507
podatne,backpack,shot_noise,3,0.34548436291515827,0.6613311991463252
podatne,backpack,shot_noise,4,0.3542938926257193,0.7874101371352624
podatne,backpack,shot_noise,5,0.3576816120184958,0.8858442422897714
podatne,backpack,impulse_noise,1,0.342293206602335,0.8793478867734912
podatne,backpack,impulse_noise,2,0.35615315358154476,0.8784712521651673
podatne,backpack,impulse_noise,3,0.35799209610559046,0.7243724181760407
podatne,backpack,impulse_noise,4,0.35731065063737333,0.9120277521816901
podatne,backpack,impulse_noise,5,0.3586533800698817,0.9070514565750069
podatne,backpack,defocus_blur,1,0.19793248176574707,0.7690420704035325
podatne,backpack,defocus_blur,2,0.22893962264060974,0.8482240201985425
podatne,backpack,defocus_blur,3,0.3395778462290764,0.7509645301804605
podatne,backpack,defocus_blur,4,0.355893696192652,0.7596094425905326
podatne,backpack,defocus_blur,5,0.35886616446077824,0.7836625863531693
podatne,backpack,glass_blur,1,0.35604377021081746,0.8553832116788321
podatne,backpack,glass_blur,2,0.35927658836590126,0.8870529525921819
podatne,backpack,glass_blur,3,0.35958133250824176,0.7717537633092645
podatne,backpack,glass_blur,4,0.3595813181309495,0.9512093193334378
podatne,backpack,glass_blur,5,0.35950650527956896,0.6993586836820626
podatne,backpack,motion_blur,1,0.07026800513267517,0.605917488540075
podatne,backpack,motion_blur,2,0.269347682595253,0.7096110575377692
podatne,backpack,motion_blur,3,0.28597234189510345,0.7440870979852334
podatne,backpack,motion_blur,4,0.3590353277977556,0.8038140643623362
podatne,backpack,motion_blur,5,0.3593789477599785,0.789676796912687
podatne,backpack,zoom_blur,1,0.2623695060610771,0.4796242993485835
podatne,backpack,zoom_blur,2,0.3173331022262573,0.7040289256198347
podatne,backpack,zoom_blur,3,0.3513446096330881,0.6924630317243177
podatne,backpack,zoom_blur,4,0.35829851077869534,0.6496232508073196
podatne,backpack,zoom_blur,5,0.35843941988423467,0.6831124524340637
podatne,backpack,snow,1,0.358862170483917,0.6099722991689751
podatne,backpack,snow,2,0.3593906310852617,0.7905519402265606
podatne,backpack,snow,3,0.35973192886740435,0.5803805078152627
podatne,backpack,snow,4,0.3596876977244392,0.6688772465017574
podatne,backpack,snow,5,0.3597252601321088,0.7315440479949479
podatne,backpack,frost,1,0.35465277917683125,0.4330991412958626
