wnid,CNN,ViT,diff,name
n02231487,0.4304628654259965,0.3024285714285714,-0.1280342939974251,walking_stick
n02233338,0.39336585365853655,0.3394023291584267,-0.05396352450010983,cockroach
n02236044,0.4549382716049382,0.37358775591333737,-0.08135051569160084,mantis
n02256656,0.37680147472700654,0.31064058956916096,-0.06616088515784557,cicada
n02259212,0.23028234031132588,0.1363768115942029,-0.09390552871712299,leafhopper
n02264363,0.23037037037037034,0.17689922480620152,-0.05347114556416882,lacewing
n02268443,0.3581712361712362,0.2581988742964353,-0.09997236187480091,dragonfly
n02268853,0.265578231292517,0.18305555555555553,-0.08252267573696148,damselfly
n02276258,0.20497777777777781,0.1276,-0.07737777777777782,admiral
n02277742,0.23146424792139073,0.1743971631205674,-0.057067084800823314,ringlet
n02279972,0.16766745468873126,0.0914915458937198,-0.07617590879501146,monarch
n02280649,0.19944444444444442,0.14798167848699761,-0.05146276595744681,cabbage_butterfly
n02281406,0.18795508274231676,0.10898049645390068,-0.07897458628841608,sulphur_butterfly
n02281787,0.2554686318972033,0.11228884590586713,-0.14317978599133618,lycaenid
n02317335,0.18266541455255614,0.14950080515297914,-0.033164609399576994,starfish
n02319095,0.32704697296741697,0.22396825396825398,-0.10307871899916299,sea_urchin
n02321529,0.3736596191333034,0.3206134706134706,-0.0530461485198328,sea_cucumber
n02325366,0.2618404558404559,0.1600000000000001,-0.10184045584045581,wood_rabbit
n02326432,0.2081432144447871,0.13534751773049641,-0.07279569671429068,hare
n02328150,0.32053333333333334,0.2238010204081632,-0.09673231292517015,Angora
n02342885,0.21031111111111112,0.1358666666666667,-0.07444444444444442,hamster
n02346627,0.34588001507520466,0.25300911854103336,-0.0928708965341713,porcupine
n02356798,0.355100215849522,0.28805568739123555,-0.06704452845828646,fox_squirrel
n02361337,0.3352939629958264,0.24685263987391642,-0.08844132312191,marmot
n02363005,0.341127707401105,0.23733986128110976,-0.10378784611999523,beaver
n02364673,0.32455218855218854,0.278537037037037,-0.04601515151515151,guinea_pig
n02389026,0.2134240362811791,0.11160430839002264,-0.10181972789115645,sorrel
n02391049,0.16148148148148142,0.10704787234042548,-0.05443360914105594,zebra
n02396427,0.3258265749280242,0.23205630354957157,-0.09377027137845262,wild_boar
n02397096,0.3575925925925925,0.2961388888888889,-0.06145370370370362,warthog
n02398521,0.35923990929705213,0.27442755825734544,-0.08481235103970669,hippopotamus
n02408429,0.38264569842738205,0.29116938809170373,-0.09147631033567832,water_buffalo
n02410509,0.27534884485195044,0.1513236714975846,-0.12402517335436583,bison
n02417914,0.2436281179138322,0.15881501182033092,-0.08481310609350129,ibex
n02422106,0.15627526372867986,0.1041829497756549,-0.052092313953024966,hartebeest
n02422699,0.2717061456376905,0.22668316015174,-0.04502298548595052,impala
n02423022,0.27682261208576997,0.15279914529914534,-0.12402346678662463,gazelle
n02437312,0.2960018140589569,0.21438888888888882,-0.0816129251700681,Arabian_camel
n02437616,0.3571609389978625,0.25101449275362314,-0.10614644624423936,llama
n02442845,0.43864254952627046,0.34689578713968955,-0.09174676238658092,mink
n02444819,0.43843816310914674,0.295063492063492,-0.1433746710456547,otter
n02445715,0.23270094562647756,0.13035714285714284,-0.10234380276933472,skunk
n02447366,0.24111728395061727,0.18291666666666667,-0.058200617283950595,badger
n02454379,0.2829710144927536,0.22373522458628833,-0.05923578990646525,armadillo
n02457408,0.3830222222222222,0.3035631205673759,-0.07945910165484632,three-toed_sloth
n02480495,0.2763998916080322,0.16098975571315993,-0.11541013589487226,orangutan
n02480855,0.2584992784992785,0.17761769710720357,-0.08088158139207494,gorilla
n02481823,0.3143981909754343,0.2443443839683325,-0.07005380700710181,chimpanzee
n02483362,0.251901316598991,0.12290598290598295,-0.12899533369300806,gibbon
n02483708,0.30525146198830416,0.2857619345424223,-0.019489527445881838,siamang
n02484975,0.4039640852974187,0.2983897110641297,-0.10557437423328897,guenon
n02486410,0.35728285167494894,0.29571076164045634,-0.0615720900344926,baboon
n02487347,0.38181874112106673,0.25925505766685564,-0.12256368345421109,macaque
n02488291,0.3107272220956432,0.23223228803716606,-0.07849493405847713,langur
n02488702,0.28946859903381644,0.1624570273003033,-0.12701157173351313,colobus
n02489166,0.20764444444444444,0.08666666666666667,-0.12097777777777777,proboscis_monkey
n02490219,0.31360795150268833,0.23989473684210527,-0.07371321466058306,marmoset
n02492035,0.32134596612115995,0.2101021846370684,-0.11124378148409156,capuchin
n02492660,0.32821256038647345,0.20489993098688747,-0.12331262939958598,howler_monkey
n02494079,0.14643874643874644,0.1257063492063492,-0.020732397232397226,squirrel_monkey
n02500267,0.30501593175043684,0.19950650118203306,-0.10550943056840378,indri
n02509815,0.15101654846335688,0.04737588652482268,-0.1036406619385342,lesser_panda
n02510455,0.22046296296296294,0.14651077097505666,-0.07395219198790629,giant_panda
n02514041,0.34443504815597836,0.19834688346883464,-0.14608816468714372,barracouta
n02526121,0.42222100643153276,0.3903148148148148,-0.03190619161671798,eel
n02536864,0.40594444444444444,0.3397097146627082,-0.06623472978173622,coho
n02606052,0.15330498866213152,0.03957446808510634,-0.11373052057702518,rock_beauty
n02607072,0.34356776989755716,0.20406914893617017,-0.139498620961387,anemone_fish
n02640242,0.4155524034672971,0.3450292397660819,-0.0705231637012152,sturgeon
n02641379,0.39832355367031935,0.33962566844919795,-0.058697885221121404,gar
n02643566,0.2572392290249433,0.1794444444444444,-0.07779478458049888,lionfish
