model,family,class,corruption,severity,method,iou,centroid_shift,prob_corr,correct
resnet101,CNN,backpack,frost,1,cam,0.8019570877098483,5.15416025462172,0.5308844447135925,True
resnet101,CNN,backpack,frost,2,cam,0.5879468522619424,9.398695443200333,0.029241245239973068,False
resnet101,CNN,backpack,frost,3,cam,0.6522704837117473,12.354049521405193,0.06201663240790367,True
resnet101,CNN,backpack,frost,4,cam,0.3368855734647662,10.806947723317453,0.0029437928460538387,False
resnet101,CNN,backpack,frost,5,cam,0.29463364293085653,15.339600643688584,0.0009141027694568038,False
resnet101,CNN,backpack,fog,1,cam,0.8320554947060971,2.726364944383556,0.35680752992630005,True
resnet101,CNN,backpack,fog,2,cam,0.7772268461129803,7.585282554229776,0.35522153973579407,True
resnet101,CNN,backpack,fog,3,cam,0.6990011850347045,8.251307555994293,0.04804185777902603,False
resnet101,CNN,backpack,fog,4,cam,0.551638837353123,14.26117825869385,0.04991788789629936,False
resnet101,CNN,backpack,fog,5,cam,0.46126965637740247,21.400446613135674,0.00810061302036047,False
resnet101,CNN,backpack,brightness,1,cam,0.8525149976926627,4.157695217616942,0.6165942549705505,True
resnet101,CNN,backpack,brightness,2,cam,0.8235668211138366,5.3668995864706694,0.471465528011322,True
resnet101,CNN,backpack,brightness,3,cam,0.8302798286391395,4.432323753011222,0.29683542251586914,True
resnet101,CNN,backpack,brightness,4,cam,0.7773842203134685,6.241305286082718,0.2577768862247467,True
resnet101,CNN,backpack,brightness,5,cam,0.6884253028263796,10.917774996685598,0.14456947147846222,True
resnet101,CNN,backpack,contrast,1,cam,0.8419748554648069,4.096400283576868,0.5345188975334167,True
resnet101,CNN,backpack,contrast,2,cam,0.8115523465703971,5.207689429366646,0.4952341616153717,True
resnet101,CNN,backpack,contrast,3,cam,0.7833851621501555,6.699933171437093,0.3685176372528076,True
resnet101,CNN,backpack,contrast,4,cam,0.6215866860559056,12.019635560939657,0.2480822056531906,True
resnet101,CNN,backpack,contrast,5,cam,0.5387917816620669,15.423351746334555,0.22061596810817719,True
resnet101,CNN,backpack,elastic_transform,1,cam,0.6453807689154849,1.9498808971913153,0.00786038301885128,False
resnet101,CNN,backpack,elastic_transform,2,cam,0.6379957564876775,9.314313954581522,0.0032023077365010977,False
resnet101,CNN,backpack,elastic_transform,3,cam,0.5790591567023285,17.865537941393796,0.0025671604089438915,False
resnet101,CNN,backpack,elastic_transform,4,cam,0.1171266414422435,20.253517407464205,0.0011309280525892973,False
resnet101,CNN,backpack,elastic_transform,5,cam,0.23444034440344402,8.255588715342205,0.0007754181860946119,False
resnet101,CNN,backpack,pixelate,1,cam,0.6184486373165619,9.62800714236275,0.4185825288295746,True
resnet101,CNN,backpack,pixelate,2,cam,0.3773416592328278,17.04005750078472,0.006546404678374529,False
resnet101,CNN,backpack,pixelate,3,cam,0.47974068071312803,23.22971912511096,0.00454019196331501,False
resnet101,CNN,backpack,pixelate,4,cam,0.1717454757734968,28.96610687725178,0.00044217289541848004,False
resnet101,CNN,backpack,pixelate,5,cam,0.17263539171583805,16.606878417930922,0.00133236194960773,False
resnet101,CNN,backpack,jpeg_compression,1,cam,0.6981387478849408,10.321264538559541,0.05278884992003441,False
resnet101,CNN,backpack,jpeg_compression,2,cam,0.5327987781596029,12.264581814229947,0.06667090952396393,False
resnet101,CNN,backpack,jpeg_compression,3,cam,0.4758823529411765,15.880489902853615,0.04430670663714409,False
resnet101,CNN,backpack,jpeg_compression,4,cam,0.6854479805189353,5.101811453417354,0.0313962921500206,False
resnet101,CNN,backpack,jpeg_compression,5,cam,0.5761287789556341,13.62105904971924,0.06511349231004715,True
resnet101,CNN,velvet,gaussian_noise,1,cam,0.7057424396873938,11.127275178787873,0.00662514753639698,False
resnet101,CNN,velvet,gaussian_noise,2,cam,0.6879623402824478,6.17290341040367,0.0035228219348937273,False
resnet101,CNN,velvet,gaussian_noise,3,cam,0.43798338584932683,12.674272633435267,0.0002928915782831609,False
resnet101,CNN,velvet,gaussian_noise,4,cam,0.48564664101805266,15.197469472963412,9.331202454632148e-05,False
resnet101,CNN,velvet,gaussian_noise,5,cam,0.39106338759958437,21.43861063143988,0.00013430834223981947,False
resnet101,CNN,velvet,shot_noise,1,cam,0.6936572199730094,4.822717325300431,0.023802120238542557,False
resnet101,CNN,velvet,shot_noise,2,cam,0.5644721464744838,12.873295986696128,0.005023539066314697,False
resnet101,CNN,velvet,shot_noise,3,cam,0.5909991284367324,17.470388836384462,0.0010316497646272182,False
resnet101,CNN,velvet,shot_noise,4,cam,0.6005099195283244,10.040956081933333,0.00022119030472822487,False
