wnid,compactness,dispersion,margin,n_imgs,model
n01955084,0.18046484887599945,0.015933499565522587,0.7574651837348938,47,resnet101
n01968897,0.18261165916919708,0.019184688809012408,0.7629567980766296,45,resnet101
n01978287,0.14021220803260803,0.012148878079932892,0.44043123722076416,40,resnet101
n01978455,0.2747427523136139,0.036510332914302765,0.3879086971282959,41,resnet101
n01980166,0.19602203369140625,0.015890154367089793,0.3879086375236511,41,resnet101
n01981276,0.1845242977142334,0.016739860241435915,0.5554882287979126,41,resnet101
n01983481,0.20533592998981476,0.02454303183296764,0.5097495913505554,43,resnet101
n01984695,0.15346398949623108,0.01299618343501853,0.3803257346153259,43,resnet101
n01985128,0.2612733244895935,0.033213590730113686,0.38032591342926025,39,resnet101
n01986214,0.23011614382266998,0.0217184296859647,0.5691385269165039,50,resnet101
n01990800,0.22949326038360596,0.026316449528258713,0.6480727791786194,42,resnet101
n02002556,0.09341032058000565,0.007364009545573055,0.43594759702682495,45,resnet101
n02002724,0.16278620064258575,0.01567462449984185,0.4359477758407593,44,resnet101
n02006656,0.06340157240629196,0.005393484403677529,0.7522275447845459,50,resnet101
n02007558,0.09408587962388992,0.007353232142410285,0.8058792352676392,49,resnet101
n02009229,0.14628101885318756,0.0135449657542188,0.4966999292373657,48,resnet101
n02009912,0.143040731549263,0.013235185272465519,0.4966996908187866,46,resnet101
n02011460,0.15193742513656616,0.012401541222819851,0.8081743121147156,47,resnet101
n02012849,0.2020559012889862,0.01930945997780539,0.634588360786438,41,resnet101
n02013706,0.08274433016777039,0.00576739248710565,0.8515458106994629,50,resnet101
n02017213,0.10009966790676117,0.006828659980141352,0.7959145307540894,49,resnet101
n02018207,0.1511932909488678,0.013159722890897584,0.7746466398239136,47,resnet101
n02018795,0.1313035488128662,0.010804718261438053,0.8035586476325989,48,resnet101
n02025239,0.07647565007209778,0.006179543855006239,0.6978492736816406,50,resnet101
n02027492,0.13843293488025665,0.016607461291295346,0.5773380398750305,45,resnet101
n02028035,0.11859556287527084,0.011846844009170097,0.6196711659431458,47,resnet101
n02033041,0.11358374357223511,0.01027913344160012,0.577337920665741,46,resnet101
n02037110,0.11010271310806274,0.01245859783196068,0.7207600474357605,48,resnet101
n02051845,0.1258324384689331,0.010942071294932094,0.8074694275856018,48,resnet101
n02056570,0.15686634182929993,0.015438092809078222,0.8103605508804321,49,resnet101
n02058221,0.17771773040294647,0.015923959064151012,0.7533937692642212,48,resnet101
n02066245,0.17583517730236053,0.017067923520168317,0.6061998605728149,47,resnet101
n02071294,0.21456246078014374,0.020649364488311922,0.6061997413635254,50,resnet101
n02074367,0.10983647406101227,0.009777026926801845,0.746167004108429,45,resnet101
n02077923,0.26143980026245117,0.0319733424005164,0.6568104028701782,45,resnet101
n02085620,0.2704383432865143,0.04412137228155032,0.29923635721206665,37,resnet101
n02085782,0.1566186547279358,0.024072670253252368,0.4003732204437256,43,resnet101
n02085936,0.21530792117118835,0.035555639709766856,0.38884609937667847,43,resnet101
n02086079,0.21232213079929352,0.031946007485686254,0.4003729820251465,45,resnet101
n02086240,0.18633370101451874,0.02964469609389421,0.19618606567382812,42,resnet101
n02086646,0.18095427751541138,0.0272023669209367,0.5321986079216003,47,resnet101
n02086910,0.20936836302280426,0.033611711717994416,0.5295575857162476,48,resnet101
n02087046,0.26266902685165405,0.0427609801523931,0.29923635721206665,33,resnet101
n02087394,0.24645210802555084,0.04568045020760063,0.2574741840362549,47,resnet101
n02088094,0.22366541624069214,0.032157017458242204,0.48598527908325195,47,resnet101
n02088238,0.21019256114959717,0.03550129818025098,0.32439231872558594,42,resnet101
n02088364,0.2222498506307602,0.04403087347972526,0.22745203971862793,45,resnet101
n02088466,0.25897225737571716,0.04271742349205758,0.3567195534706116,29,resnet101
n02088632,0.260187029838562,0.040180820718437704,0.3468030095100403,46,resnet101
n02089078,0.22038649022579193,0.04516854308465343,0.31307512521743774,36,resnet101
n02089867,0.2028016895055771,0.037985159482994975,0.169131338596344,36,resnet101
n02089973,0.21848031878471375,0.03640944030467318,0.16913145780563354,16,resnet101
n02090379,0.24487698078155518,0.046319945153672964,0.26523828506469727,41,resnet101
n02090622,0.22043325006961823,0.03432687700705652,0.40411823987960815,50,resnet101
