model,method,wnid,name,image_pos,image_idx,corruption,family,severity,prob_clean,prob_corr,prob_drop,correct_clean,correct_corr,xai_iou,xai_corr,centroid_shift,entropy_clean,entropy_corr,entropy_delta,family_model
vit_b_16,rollout,n03899768,patio,0,1538,snow,weather,3,0.005413006525486708,0.0005328029510565102,0.0048802035744301975,0,0,0.387640837768715,0.3633416015407751,38.27518217177482,2.6878017347416643,3.8953430641312146,1.2075413293895503,ViT
vit_b_16,cam,n03899768,patio,0,1538,snow,weather,3,0.005413006525486708,0.0005328029510565102,0.0048802035744301975,0,0,0.2621023513139696,0.4159085583474562,53.13299140010016,2.957437367047879,1.5259282284719364,-1.4315091385759424,ViT
vit_b_16,ig,n03899768,patio,0,1538,snow,weather,3,0.005413006525486708,0.0005328029510565102,0.0048802035744301975,0,0,0.23801887374329242,0.266321906134194,38.39511704375329,1.657749711324688,0.8787149700455543,-0.7790347412791336,ViT
vit_b_16,rollout,n03899768,patio,0,1538,snow,weather,4,0.005413006525486708,0.00028850213857367635,0.005124504386913031,0,0,0.3859964093357271,0.3404076665839723,40.78699493859787,2.6878017347416643,4.010145074022224,1.3223433392805601,ViT
vit_b_16,cam,n03899768,patio,0,1538,snow,weather,4,0.005413006525486708,0.00028850213857367635,0.005124504386913031,0,0,0.34198034365180185,0.4489045568061804,30.53880055000919,2.957437367047879,3.9368860956644465,0.9794487286165676,ViT
vit_b_16,ig,n03899768,patio,0,1538,snow,weather,4,0.005413006525486708,0.00028850213857367635,0.005124504386913031,0,0,0.20494657221755314,0.1968845977221431,23.158094165128382,1.657749711324688,1.291976687400762,-0.36577302392392586,ViT
vit_b_16,rollout,n03899768,patio,0,1538,snow,weather,5,0.005413006525486708,0.0010370685486122966,0.004375937976874411,0,0,0.38513560140777037,0.28322540941709995,41.13361157164713,2.6878017347416643,4.0055035908518715,1.3177018561102072,ViT
vit_b_16,cam,n03899768,patio,0,1538,snow,weather,5,0.005413006525486708,0.0010370685486122966,0.004375937976874411,0,0,0.20001594387755103,0.2530654806343734,35.60095284548953,2.957437367047879,1.24459984796007,-1.712837519087809,ViT
vit_b_16,ig,n03899768,patio,0,1538,snow,weather,5,0.005413006525486708,0.0010370685486122966,0.004375937976874411,0,0,0.16568906440559847,0.1334038717898479,9.355574254017084,1.657749711324688,1.1611626411774754,-0.4965870701472126,ViT
vit_b_16,rollout,n03899768,patio,0,1538,frost,weather,1,0.005413006525486708,0.0022054363507777452,0.0032075701747089624,0,0,0.3977715877437326,0.43555859686058,27.29539809342145,2.6878017347416643,3.9914312564043026,1.3036295216626383,ViT
vit_b_16,cam,n03899768,patio,0,1538,frost,weather,1,0.005413006525486708,0.0022054363507777452,0.0032075701747089624,0,0,0.6247369273109924,0.8538749814846172,3.5332310692865505,2.957437367047879,3.2272157619248913,0.2697783948770125,ViT
vit_b_16,ig,n03899768,patio,0,1538,frost,weather,1,0.005413006525486708,0.0022054363507777452,0.0032075701747089624,0,0,0.3002526397616117,0.3701305918984303,26.47054174358731,1.657749711324688,1.5726224850797457,-0.08512722624494229,ViT
vit_b_16,rollout,n03899768,patio,0,1538,frost,weather,2,0.005413006525486708,0.0011880745878443122,0.0042249319376423955,0,0,0.3794240945639475,0.3199290731839003,36.36855102965287,2.6878017347416643,4.042708065682687,1.3549063309410228,ViT
vit_b_16,cam,n03899768,patio,0,1538,frost,weather,2,0.005413006525486708,0.0011880745878443122,0.0042249319376423955,0,0,0.5582641099293533,0.7822166552346966,10.250771435768419,2.957437367047879,3.4374830730145876,0.4800457059667087,ViT
