model,family,class,corruption,severity,method,iou,centroid_shift,prob_corr,correct,abs_delta_hf_energy,abs_delta_edge_strength,abs_delta_entropy,abs_delta_contrast,abs_delta_brightness
resnet101,CNN,velvet,frost,1,cam,0.749738584872778,6.704723020418741,0.7164637446403503,True,0.0012241443619132042,0.024929020553827286,0.35989117993705655,0.0029218047857284546,0.18418999016284943
resnet101,CNN,velvet,frost,2,cam,0.5208664697417253,12.376339049261242,0.03458087146282196,False,0.007671151775866747,0.02603408694267273,0.15435042183652303,0.02371363341808319,0.35383419692516327
resnet101,CNN,velvet,frost,3,cam,0.630664284554166,10.7291565179997,0.019928140565752983,False,0.013081107521429658,0.010547466576099396,0.2886217189468745,0.05848865956068039,0.5016784518957138
resnet101,CNN,velvet,frost,4,cam,0.5899912898883523,18.943863094340013,0.0667397528886795,False,0.013360316050238907,0.009167524054646492,0.24315061518606562,0.055846549570560455,0.4933260530233383
resnet101,CNN,velvet,frost,5,cam,0.7534055186866923,13.892988396565785,0.008859055116772652,False,0.01243400969542563,0.016031265258789062,0.24890047246671632,0.06146295368671417,0.49495016038417816
resnet101,CNN,velvet,fog,1,cam,0.6240698802976383,11.093186671322856,0.04212278127670288,False,0.014326368167530745,0.0091472789645195,0.5258814636584574,0.08341105282306671,0.20663566887378693
resnet101,CNN,velvet,fog,2,cam,0.6502301117685733,11.44320071882916,0.01629788987338543,False,0.014603776449803263,0.010036549996584654,0.11916128357238431,0.05681394785642624,0.21635441482067108
resnet101,CNN,velvet,fog,3,cam,0.729841488628532,8.12374767191557,0.11866415292024612,True,0.014637892716564238,0.010447674430906773,0.0796727267295596,0.04856404662132263,0.14166967570781708
resnet101,CNN,velvet,fog,4,cam,0.6003026200525603,16.192532537979876,0.009632712230086327,False,0.014707731257658452,0.007742791436612606,0.20987812993349575,0.030623897910118103,0.23282016813755035
resnet101,CNN,velvet,fog,5,cam,0.6398661333768672,5.444816980808262,0.004762960597872734,False,0.014730227005202323,0.007010825909674168,0.2768894815699525,0.02118946611881256,0.2328283041715622
resnet101,CNN,velvet,brightness,1,cam,0.9529274460221747,1.4550443641133308,0.290522962808609,True,0.004036950878798962,0.001475803554058075,0.1075385562205895,0.002817302942276001,0.0660470575094223
resnet101,CNN,velvet,brightness,2,cam,0.8708655548308953,5.2370733535523595,0.14093324542045593,True,0.006742903962731361,0.0027664266526699066,0.10442928492177561,0.006237253546714783,0.13283009827136993
resnet101,CNN,velvet,brightness,3,cam,0.7662063506025156,10.16519207689294,0.047549404203891754,False,0.008610311895608902,0.003550007939338684,0.04983502995813538,0.013293415307998657,0.19373537600040436
resnet101,CNN,velvet,brightness,4,cam,0.6960891967226962,11.359249095329693,0.0378793403506279,False,0.009964078664779663,0.004131833091378212,0.050286142115679944,0.019713476300239563,0.2503308206796646
resnet101,CNN,velvet,brightness,5,cam,0.6804753535860741,15.977674454568318,0.0360121913254261,False,0.010835375171154737,0.004910210147500038,0.16949995584836586,0.01819835603237152,0.30128486454486847
